"id";"titre";"texte";"clientele"
"4";"Étudiant d’un jour";"<p>Tu veux en apprendre plus sur le programme ? Tu veux assister à un ou plusieurs cours ? Viens passer une journée avec nous, en Techniques d'intégration multimédia!</p>
<p>Contacte <a href=""#"">Benoît Frigon</a> pour en savoir plus. </p> ";"1"
"5";"Stages";"<p>Le programme TIM du Cégep de Sainte-Foy offre des stages en Alternance travail études (<abbr title=""Alternance travail études"">ATE</abbr>) pendant l’été et un stage crédité en session terminale qui peut être réalisé en France.</p> 

<p>Contacte <a href=""#"">Pascal Larose</a> pour en savoir plus. </p> ";"1"
"6";"Des questions?";"<p>Tu as des questions et aimerais en apprendre plus sur notre programme ? N’hésite pas à nous contacter pour obtenir des réponses.</p>

<p>Contacte <a href=""#"">Sylvain Lamoureux</a> pour en savoir plus.</p>  ";"1"
"7";"S’inscrire au programme";"<p>Les demandes d'admission au programme TIM sont reçues avant le 1er mars de chaque année (1er tour), le 1er mai (2e tour), le 1er juin (3e tour) et le 1er août (4e tour). </p>

<p>Pour compléter ta demande d'admission à notre programme, tu dois t'adresser au Service régional d'admission au collégial de Québec (<abbr title=""Service régional d'admission au collégial de Québec"">SRACQ</abbr>), à l'adresse <a href=""http://sracq.qc.ca"">http://sracq.qc.ca</a></p>";"1"
"8";"Stages";"<p>Stage des étudiant.e.s de 3e année (stage de fin d’études, crédité)
Débute le 21 mars 2022 pour une durée de 8 semaines. 
Les étudiant.e.s seront par la suite immédiatement disponibles à l'emploi. Les stages rémunérés sont admissibles à des crédits d'impôt avantageux.</p>

<p>Stage des étudiant.e.s de 1re et 2e année (stage alternance travail-étude)
Début à partir du 23 mai 2022 pour une durée minimum de 8 semaines
Il s'agit d'un stage rémunéré. Les stages rémunérés sont admissibles à des crédits d'impôt avantageux.</p>

<p>Consultez le profil des compétences de nos étudiant.e.s pour déterminer le stage à offrir. (<a href=""#"">mettre profilCompetences2022.pdf en lien)</a></p>

<p>Contactez <a href=""#"">Pascal Larose</a> pour en savoir plus.  
Téléphone : (418) 659-6600, poste 6663</p>";"2"
"9";"Des questions?";"<p>Vous avez des questions et aimeriez en apprendre plus sur notre programme ? N’hésitez pas à nous contacter pour obtenir des réponses.</p>

<p>Contacter <a href=""#"">Sylvain Lamoureux</a> pour en savoir plus.</p>";"2"
"11";"Site du cégep";"<a href=""http://www.cegep-ste-foy.qc.ca"">http://www.cegep-ste-foy.qc.ca</a>";"0"
"12";"Page du programme TIM sur le site du cégep";"<a href='https://www.csfoy.ca/programmes/tous-les-programmes/programmes-techniques/techniques-dintegration-multimedia-web-et-apps/'>https://www.csfoy.ca/programmes/tous-les-programmes/programmes-techniques/techniques-dintegration-multimedia-web-et-apps/</a>

";"0"
"13";"Facebook";"<a href='https://www.facebook.com/timcsf'>https://www.facebook.com/timcsf</a>";"0"
"14";"Twitter";"<a href=""https://twitter.com/timcsf"">https://twitter.com/timcsf</a>";"0"
